Date,Open,High,Low,Close,Volume,Symbol,ma_7,ma_30,pct_change
2025-10-09,257.805,258.0,253.14,254.04,3.8322012E7,AAPL,254.0399932861328,254.0399932861328,
2025-10-09,257.805,258.0,253.14,254.04,3.8322012E7,AAPL,254.0399932861328,254.0399932861328,0.0
2025-10-09,257.805,258.0,253.14,254.04,3.8322012E7,AAPL,254.0399932861328,254.0399932861328,0.0
2025-10-09,257.805,258.0,253.14,254.04,3.8322012E7,AAPL,254.0399932861328,254.0399932861328,0.0
2025-10-09,257.805,258.0,253.14,254.04,3.8322012E7,AAPL,254.0399932861328,254.0399932861328,0.0
2025-10-10,254.94,256.38,244.0,245.27,6.1999096E7,AAPL,252.57832845052084,252.57832845052084,-3.45
2025-10-10,254.94,256.38,244.0,245.27,6.1999096E7,AAPL,251.53428213936942,251.53428213936942,0.0
2025-10-10,254.94,256.38,244.0,245.27,6.1999096E7,AAPL,250.28142656598772,250.75124740600586,0.0
2025-10-10,254.94,256.38,244.0,245.27,6.1999096E7,AAPL,249.02857099260603,250.14222039116754,0.0
2025-10-10,254.94,256.38,244.0,245.27,6.1999096E7,AAPL,247.77571541922433,249.65499877929688,0.0
2025-10-13,249.38,249.69,245.56,247.66,3.8142944E7,AAPL,246.86428833007812,249.47363558682528,0.97
2025-10-13,249.38,249.69,245.56,247.66,3.8142944E7,AAPL,245.95286124093192,249.32249959309897,0.0
2025-10-13,249.38,249.69,245.56,247.66,3.8142944E7,AAPL,246.2942897251674,249.19461529071515,0.0
2025-10-13,249.38,249.69,245.56,247.66,3.8142944E7,AAPL,246.6357182094029,249.08500017438615,0.0
2025-10-13,249.38,249.69,245.56,247.66,3.8142944E7,AAPL,246.9771466936384,248.99000040690103,0.0
2025-10-14,246.6,248.845,244.7,247.77,3.5477984E7,AAPL,247.33428955078125,248.91375064849854,0.04
2025-10-14,246.6,248.845,244.7,247.77,3.5477984E7,AAPL,247.6914324079241,248.84647144990808,0.0
2025-10-14,246.6,248.845,244.7,247.77,3.5477984E7,AAPL,247.70714678083147,248.7866677178277,0.0
2025-10-14,246.6,248.845,244.7,247.77,3.5477984E7,AAPL,247.72286115373885,248.73315911543997,0.0
2025-10-14,246.6,248.845,244.7,247.77,3.5477984E7,AAPL,247.7385755266462,248.68500137329102,0.0
2025-10-15,249.485,251.82,247.47,249.34,3.3893612E7,AAPL,247.97857448032923,248.71619160970053,0.63
2025-10-15,249.485,251.82,247.47,249.34,3.3893612E7,AAPL,248.21857343401228,248.7445463700728,0.0
2025-10-15,249.485,251.82,247.47,249.34,3.3893612E7,AAPL,248.44285801478796,248.77043549910834,0.0
2025-10-15,249.485,251.82,247.47,249.34,3.3893612E7,AAPL,248.6671425955636,248.79416720072427,0.0
2025-10-15,249.485,251.82,247.47,249.34,3.3893612E7,AAPL,248.89142717633928,248.81600036621094,0.0
2025-10-16,248.25,249.04,245.13,247.45,3.9776976E7,AAPL,248.84571184430803,248.76346177321213,-0.76
2025-10-16,248.25,249.04,245.13,247.45,3.9776976E7,AAPL,248.79999651227678,248.7148149278429,0.0
2025-10-16,248.25,249.04,245.13,247.45,3.9776976E7,AAPL,248.52999659946985,248.66964285714286,0.0
2025-10-16,248.25,249.04,245.13,247.45,3.9776976E7,AAPL,248.25999668666296,248.62758610166352,0.0
